kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
90,32,4,1,1.3113e-05,1.3113e-05,10920,0.83276,3,2,2,2,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",1024
91,32,4,1,1.38283e-05,1.38283e-05,10920,0.789686,3,2,4,4,0,0,"0,0,0:-4,0,0;0,0,0:-4,0,0;none",1024
92,32,4,1,1.40667e-05,1.40667e-05,10920,0.776302,3,2,2,2,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",1024
93,32,4,1,1.19209e-05,1.19209e-05,10816,0.907312,3,2,4,0,0,4,"0,0,0:0,0,4;0,0,0:0,0,4;none",1024
94,32,4,1,1.12057e-05,1.12057e-05,10816,0.965225,3,2,2,0,0,2,"0,0,0:0,0,2;0,0,0:0,0,2;none",1024
95,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,4,0,0,4,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",1024
96,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,2,0,0,2,"0,0,0:0,0,-2;0,0,0:0,0,-2;none",1024
97,32,4,1,0.000311852,0.000311852,1000000,3.20665,12,7,1,1,1,1,"0,0,0;0,0,0;0,0,0;0,0,0;f0,0,0:1,1,1;f0,0,0:1,1,1;f0,0,0:1,1,1;none;none;none;none;none",1024
98,32,4,1,0.000242949,0.000242949,1000000,4.1161,12,12,1,1,1,1,"f0,0,0:1,1,1;f0,0,0:1,1,1;s3D_000_P100_stride3D_x;s3D_000_0P10_stride3D_y;1,0,0:-1,0,0:0,1,0:0,0,-1:0,0,1:0,0,-1;0,0,0;0,0,0;f0,0,0:1,1,1;s3D_000_00P1_stride3D_z;0,0,0;0,0,0;0,0,0",640
99,32,4,1,0.000111103,0.000111103,1000000,9.00065,14,14,1,1,1,1,"s3D_000_P100_stride3D_x;s3D_000_0P10_stride3D_y;0,0,0;0,0,0;0,0,0;f0,0,0:1,1,1;0,0,0;0,0,0;f0,0,0:1,1,1;0,0,0;0,0,0;s3D_000_00P1_stride3D_z;f0,0,0:1,1,1;0,0,0",1024
100,32,4,1,8.39233e-05,8.39233e-05,1000000,11.9156,2,1,0,0,0,0,"0,0,0;none",1024
101,32,4,1,2.28882e-05,2.28882e-05,1,4.36907e-05,6,3,0,0,0,0,"s2D_000_stride3D_x;s2D_000_stride3D_y;none;none;s2D_000_stride3D_z;none",1024
103,32,4,1,0.000117064,0.000117064,1000000,8.54237,14,14,1,1,1,1,"0,0,0:1,0,0;f0,0,0:1,1,1;0,0,0:0,1,0;f0,0,0:1,1,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0:0,0,1;f0,0,0:1,1,1",1024
105,32,4,1,3.60012e-05,3.60012e-05,1000000,27.7768,4,4,0,0,0,0,"0,0,0;0,0,0;0,0,0;0,0,0",1024
106,32,4,1,0.000124931,0.000124931,1030301,8.24694,14,14,1,1,1,1,"f0,0,0:-1,-1,-1;f0,0,0:-1,-1,-1;0,0,0;0,0,0;0,0,0;f0,0,0:0,-1,-1;f0,0,0:-1,-1,-1;0,0,0;0,0,0;f0,0,0:-1,0,-1;f0,0,0:-1,-1,-1;0,0,0;0,0,0;f0,0,0:-1,-1,0",1024
